שם חברה,תאור של ארגון רכש,תקנה תקציבית,תיאור תקנה תקציבית,הזמנת רכש,מטרת התקשרות,תאריך יצירת ההזמנה,סיום תקופת תוקף,קוד ספק,שם הספק,"ערך ההזמנה כולל מע""מ",מטבע,"ביצוע חשבוניות במטבע מקומי כולל מע""מ והצ",אופן רכישה,"מס' פנייה במנו""ף/מנור""",סיבת פטור,הזמנה רגישה
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501028156,הזמנת ארוחת צהרים לאגף מיחשוב,02-24-15,03-31-15,0040011436,רשות שדות התעופה-ע.מ,1095.28,ILS,1095.28,פטור ממכרז,ספק יחיד,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501028217,חניית עובדים בקרית הממשלה באר שבע,02-24-15,,0040001471,"אשמורת תיכונה בע""מ",51608.06,ILS,68749.78,תקנה 14ב - מכרז מרכזי,מינהל הדיור,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501028291,תלושי מזון בקרי גבול,02-24-15,,0040011436,רשות שדות התעופה-ע.מ,112297.81,ILS,109226.95,פטור ממכרז,9999,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501028331,שליחויות ומסירות משפטיות,02-24-15,02-11-16,0040514354,"טאבוטקסט מסירות אישיות בע""מ",50000.14,ILS,0,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501028675,שי לפסח 2015,02-25-15,,0070000745,ועד עובדים באר שבע,5525,ILS,5525,לא בשימוש,9999,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501028675,שי לפסח 2015,02-25-15,,0070000745,ועד עובדים באר שבע,33575,ILS,33575,לא בשימוש,9999,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501028675,שי לפסח 2015,02-25-15,,0070000745,ועד עובדים באר שבע,850,ILS,850,לא בשימוש,9999,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501029031,מנוי חודשי ללשכת פתח תקווה,02-26-15,,0040927826,"קאפקס בע""מ",28557.360000000001,ILS,20736,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501029039,שלטים לחניון,02-26-15,,0040319768,"אלון שערים סקיוריטי גייט בע""מ",708,ILS,708,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501029143,רכישת ריהוט,02-26-15,,0040003692,"טופ-ליין יבוא ושיווק רהיטים בע""מ",15708.54,ILS,15708.68,תקנה 14ב - מכרז מרכזי,537946,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120310,פעולות הנהלה,4501029413,ציוד משרדי סיעוד כפר סבא,03-01-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",5177.25,ILS,5177.25,תקנה 14ב - מכרז מרכזי,529619,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501029494,הקמת מחיצה מתקפלת לשכת רמלה,03-01-15,,0040292987,"החברה לניהול קריית הממשלה רמלה בע""מ",994.3,ILS,994.3,פטור ממכרז,9999,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110202,"פעולות, שירותים",4501029591,הזמנת עזרים למחשבים לצורכי הרשות,03-01-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",14460.84,ILS,14408.72,תקנה 14ב - מכרז מרכזי,529619,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110113,"הדרכה, רווחה ושכר",4501029821,קורס הכשרה,03-01-15,,0040015919,"קבוצת גבים ע.ג. בע""מ",7670,ILS,7670,אחר,הזמנה,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501030034,הזמנת קפה תה סוכר לאשכול חיפה,03-02-15,04-08-15,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1134.45,ILS,1134.45,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501030061,"הזמנת קפה תה סוכר לאשכול נתב""ג - כולל אלנבי",03-02-15,04-08-15,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",14831.89,ILS,14831.89,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501030069,זמנת קפה תה סוכר לאשכול אשדוד,03-02-15,04-08-15,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1358.77,ILS,1358.77,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501030079,מכרז משקי,03-02-15,04-08-15,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1581.2,ILS,1581.2,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110113,"הדרכה, רווחה ושכר",4501030172,יום גיבוש לעובדי לשכות האוכלוסין עכו ונהריה,03-02-15,,0041122438,חסון איתי טטו ויקטור,2599.8200000000002,ILS,2599.8200000000002,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110202,"פעולות, שירותים",4501030250,התקנת נקודות תקשורת למערכת לניהול תורים,03-02-15,,0040514141,"מגלקום בע""מ",100214.97,ILS,43902.66,תקנה 14ב - מכרז מרכזי,16.3.14,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110202,"פעולות, שירותים",4501030304,עבור מדפסות למדבקות,03-02-15,,0040001244,"דנגוט מחשבים בע""מ",11641.5,ILS,9917.9,פטור ממכרז,98,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501030500,תגבור שירות אבטחה קריית ממשלה באר שבע,03-02-15,,0040007161,"אשמורת ניהול נכסים בע""מ",185140.99,ILS,98051.47,תקנה 14ב - מכרז מרכזי,99,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501030515,סובסידיה מנהל אכיפה וזרים,03-03-15,12-31-15,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",43106.23,ILS,43106.23,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501030602,תשלומי מים לשנת 2015,03-03-15,12-31-15,0020000551,"מי רקת טבריה בע""מ",5782,ILS,3415.74,אחר,תשלום מים,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501030670,תשלומי מים לשנת 2015,03-03-15,12-31-15,0020000786,"יובלים אשדוד בע""מ",3540,ILS,1811.96,אחר,תשלום מים,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501030707,תשלומי מים לשנת 2015,03-03-15,12-31-15,0020000771,עין נטפים - מפעלי מים וביוב אילת בע,1000,ILS,739.9,אחר,תשלום מים,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501030707,תשלומי מים לשנת 2015,03-03-15,12-31-15,0020000771,עין נטפים - מפעלי מים וביוב אילת בע,1500,ILS,374.85,אחר,תשלום מים,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501030934,"שליחת דרכונים, ת.ז -דואר רשום",03-03-15,12-31-15,0040184020,"חברת דואר ישראל בע""מ",6042999.4900000002,ILS,5185019.1900000004,פטור ממכרז,דואר ישראל,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501030934,"שליחת דרכונים, ת.ז -דואר רשום",03-03-15,12-31-15,0040184020,"חברת דואר ישראל בע""מ",4012000,ILS,3530999.63,פטור ממכרז,דואר ישראל,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501030934,"שליחת דרכונים, ת.ז -דואר רשום",03-03-15,12-31-15,0040184020,"חברת דואר ישראל בע""מ",200600,ILS,122479.27,פטור ממכרז,דואר ישראל,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501030934,"שליחת דרכונים, ת.ז -דואר רשום",03-03-15,12-31-15,0040184020,"חברת דואר ישראל בע""מ",200600,ILS,136772.88,פטור ממכרז,דואר ישראל,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501031137,שילט עבור לשכה משפטית,03-04-15,10-27-15,0040011802,פולקובסקי בעמ,8693.06,ILS,8693.06,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501031312,שירותי עבודות חשמל,03-04-15,03-04-16,0040004819,"כהן ינון בע""מ",49560,ILS,49542.05,תקנה 14ב - מכרז מרכזי,מאגר מאוחד,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501031433,שי לפסח 2015,03-04-15,,0070000750,ועד עובדים חדרה - משרד הפנים,5950,ILS,5950,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110202,"פעולות, שירותים",4501031442,רכישת מחשבים,03-04-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",113950.39999999999,ILS,112618.68,תקנה 14ב - מכרז מרכזי,553417,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501031485,שי לפסח 2015,03-04-15,,0070000736,ועד עובדים נתניה,8925,ILS,8925,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501031495,שי לפסח 2015,03-04-15,,0070000735,ועד עובדים עכו,8075,ILS,8075,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501031533,שי לפסח 2015,03-04-15,,0070000742,ועד עובדים חיפה,10200,ILS,10200,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501032355,מתנות לסיורים וביקורים,03-08-15,,0040006629,עמיאל אהרן,2478,ILS,2478,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501032466,אביזרי חשמל וכלי מטבח עבור לשכות האוכלוסין בצפון,03-08-15,04-08-15,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1389.28,ILS,1231.33,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501032619,לחם ושוקולד למעוכבים,03-09-15,,0040572752,"סולי סיטונאות וקימעונאות בע""מ",2987.83,ILS,2987.83,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501032716,מכרז משקי,03-09-15,04-08-15,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",4771.33,ILS,4771.33,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501033136,שי לפסח 2015,03-10-15,,0070000733,ועד עובדים חולון,7650,ILS,7650,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501033147,שי לפסח 2015,03-10-15,,0070000748,ועד עובדים ג'נרלי - משרד הפנים הלל,4675,ILS,4675,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501033147,שי לפסח 2015,03-10-15,,0070000748,ועד עובדים ג'נרלי - משרד הפנים הלל,22100,ILS,22100,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501033147,שי לפסח 2015,03-10-15,,0070000748,ועד עובדים ג'נרלי - משרד הפנים הלל,28900,ILS,28900,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501033159,שי לפסח 2015,03-10-15,,0070000746,ועד עובדים רמלה - משרד הפנים,20400,ILS,20400,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501033189,ביצוע הערכות תלות לסיעודיים שאינם זכאים לגמלת סיעו,03-10-15,,0040002901,ביטוח לאומי המשרד הראשי,1300000,ILS,1300000,אחר,התקשרות עם ביטוח לאומי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120311,הוצאות תפעול,4501033189,ביצוע הערכות תלות לסיעודיים שאינם זכאים לגמלת סיעו,03-10-15,,0040002901,ביטוח לאומי המשרד הראשי,172102,ILS,172102,אחר,התקשרות עם ביטוח לאומי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501033307,תיקון משאבה,03-10-15,,0041102644,גולן יניב,4720,ILS,4720,פטור ממכרז,תיקון משאבה,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110113,"הדרכה, רווחה ושכר",4501033321,רישום ודמי ביטוח לקבוצת קט רגל דרום,03-10-15,,0040012302,הפועל - ספורט למקומות עבודה מחוז בא,10487,ILS,10487,פטור ממכרז,ספק יחיד,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501033428,ציוד משקי,03-10-15,12-31-15,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",546.34,ILS,546.34,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110211,מערכת רישום ביקורת,4501033449,הזמנת רישיונות אורקל הסבת מערכות הפעלה לW8.1,03-10-15,12-31-16,0041124133,"סייברביט בע""מ",9661932.1500000004,ILS,5460772.46,פטור ממכרז,98,תקנה 3(4)(ב)(3) - התקשרות המשך באישור ועדת פטור מרכזית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501033523,שי לפסח 2015,03-10-15,,0070000749,ועד עובדים רמת גן,5950,ILS,5950,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501033550,שי לפסח 2015,03-10-15,,0070000737,ועד עובדים הרצליה,5525,ILS,5525,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501033568,שי לפסח 2015,03-10-15,,0070000743,"ועד עובדים מחוז ת""א",28900,ILS,28900,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110211,מערכת רישום ביקורת,4501033569,הסבת מערכת יוניקס-לינוקס +שדרוג ארכיטקטורה מע' רעו,03-10-15,12-31-16,0041124133,"סייברביט בע""מ",5580969.3899999997,ILS,1305094.06,פטור ממכרז,98,תקנה 3(4)(ב)(3) - התקשרות המשך באישור ועדת פטור מרכזית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110202,"פעולות, שירותים",4501033569,הסבת מערכת יוניקס-לינוקס +שדרוג ארכיטקטורה מע' רעו,03-10-15,12-31-16,0041124133,"סייברביט בע""מ",1536092.56,ILS,922305.7,פטור ממכרז,98,תקנה 3(4)(ב)(3) - התקשרות המשך באישור ועדת פטור מרכזית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110202,"פעולות, שירותים",4501033625,עבור כרטסי רשת נוספים,03-10-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",3001.92,ILS,3001.92,פטור ממכרז,98,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501033749,מגבונים לחים ללשכות האוכלוסין,03-11-15,12-31-15,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1274.4000000000001,ILS,1274.4000000000001,תקנה 1ב - מכרז פומבי רגיל,מכרז פומבי ציוד משקי,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501034003,השתתפות המשרד בשי לחג פסח 2015,03-11-15,,0070000838,ועד עובדים מחוז העמקים,6375,ILS,6375,פטור ממכרז,ועד עובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501034134,השתתפות המשרד בשי לחג פסח 2015,03-11-15,,0070005724,ועד עובדים ארצי מנהל אכיפה,138550,ILS,137700,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501034137,השתתפות המשרד בשי לחג פסח 2015,03-11-15,,0070005723,ועד עובדים ארצי מעברי הגבול,235875,ILS,235875,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501034140,השתתפות המשרד בשי לחג פסח 2015,03-11-15,,0070005722,ועד מנהל אוכלוסין חיפה,14025,ILS,14025,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501034157,שירותי הדברת מזיקים ברחביהארץ,03-11-15,03-31-16,0040007092,"ב.ע. שרותי תברואה בע""מ",29250,ILS,1269.68,תקנה 14ב - מכרז מרכזי,מאגר מאוחד,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501034159,דיו למכונות ביול,03-11-15,12-31-16,0041090229,"א.מ. לים שיווק בע""מ",23446.799999999999,ILS,23593.759999999998,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501034306,"מתנות לנסיעת לחו""ל",03-12-15,12-31-15,0040007035,"קדמא תרבות ובידור בע""מ",1316.97,ILS,1316.97,פטור ממכרז,מתנות לנסיעה לחול,תקנה 3ג - מימוש זכות ברירה,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501034323,החלפת לוח פיקוד חשמל,03-12-15,,0041102644,גולן יניב,5664,ILS,5664,פטור ממכרז,9999,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501034551,שי לפסח 2015,03-12-15,,0070000739,ועד עובדים צפת,4250,ILS,4250,פטור ממכרז,9999,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110113,"הדרכה, רווחה ושכר",4501034591,קורס מסלול קידום,03-12-15,,0010000020,משרד ראש הממשלה,1500,ILS,1500,אחר,הזמנה,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501034853,שי לפסח 2015,03-15-15,,0070000740,ועד עובדים נצרת עילית - מחוז הצפון,5525,ILS,5525,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501034858,שי לפסח 2015,03-15-15,,0070000744,ועד עובדים טבריה,2125,ILS,2125,פטור ממכרז,שי לעובדים,לא בשימוש,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501035190,עבודות תחזוקה בלשכת תל אביב,03-15-15,,0040004927,"מחצית היובל בע""מ",1527.33,ILS,1527.33,פטור ממכרז,9999,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110202,"פעולות, שירותים",4501035598,10 מדפסות משולבות דגם- 6020,03-16-15,,0040001244,"דנגוט מחשבים בע""מ",14728.78,ILS,11782.39,תקנה 14ב - מכרז מרכזי,16.5.5,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110113,"הדרכה, רווחה ושכר",4501035655,יום גיבוש לעובדי לשכת האוכלוסין בתל אביב,03-16-15,,0040409832,"שלי ומשה עסיס יזמות בע""מ",3599.76,ILS,3599.76,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501035684,החזר הוצאות עבור טיסה בבלגרד,03-16-15,,0050000297,"""MINISTRY OF FOREIGN AFFAIRS VIA BA",613.12,USD,2461.6799999999998,פטור ממכרז,משרד החוץ,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501036024,רכישת שקי דואר עבור לשכות האוכלוסין,03-18-15,,0040148670,"ש. ברלינר בע""מ",2006,ILS,2006,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110110,פעולות הנהלה,4501036057,הוצאות טיסה   לרומא וברלין,03-18-15,,0050000297,"""MINISTRY OF FOREIGN AFFAIRS VIA BA",1255,USD,824.12,פטור ממכרז,משרד החוץ,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501036445,אוזניות ומתאמים לטלפונייה,03-19-15,,0040412712,"אלפא. א. מחשבים בע""מ",7144.9,ILS,7144.9,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501036446,חלב ליחידת RSD,03-19-15,,0040451319,יצחקוב ניסים,2961.56,ILS,2961.56,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110211,מערכת רישום ביקורת,4501036767,תחזוקת מערכת רותם,03-19-15,01-01-16,0041124133,"סייברביט בע""מ",19156885.93,ILS,13900001.050000001,פטור ממכרז,98,תקנה 3(4)(ב)(3) - התקשרות המשך באישור ועדת פטור מרכזית,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501037047,יעוץ מקצועי חשמל,03-19-15,,0040159616,"גדיר הנדסה בע""מ",6962,ILS,6962,פטור ממכרז,יעוץ לגבי חוב,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110233,הוצאות תפעול ומחשוב,4501037059,תחזוקה עכו 2015,03-19-15,12-31-15,0040969515,"א.ג.א. החזקות ( קניון עכו) , שותפות",151632,ILS,170037.37,תקנה 14ב - מכרז מרכזי,99,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501037059,תחזוקה עכו 2015,03-19-15,12-31-15,0040969515,"א.ג.א. החזקות ( קניון עכו) , שותפות",35100,ILS,17360.38,תקנה 14ב - מכרז מרכזי,99,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501037062,תשלומי ארנונה 2015,03-19-15,12-31-15,0020000182,עירית חיפה,1000,ILS,819.51,אחר,תשלומי ארנונה,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68120110,הוצאות תפעול,4501037062,תשלומי ארנונה 2015,03-19-15,12-31-15,0020000182,עירית חיפה,492000,ILS,294710.77,אחר,תשלומי ארנונה,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501037067,תשלומי ארנונה לשנת 2015,03-19-15,12-31-15,0020000105,עירית כרמיאל,82000,ILS,81786.399999999994,אחר,תשלומי ארנונה,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501037093,תשלומי מים לשנת 2015,03-19-15,12-31-15,0020000742,"מי גבעתיים - מפעלי מים וביוב בע""מ",8850,ILS,6234.69,אחר,תשלום מים,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501037095,תשלומי מים לשנת 2015,03-19-15,12-31-15,0020000777,"מי שיקמה בע""מ",10620,ILS,9261.4599999999991,אחר,תשלום מים,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110202,"פעולות, שירותים",4501037145,רכישת טונרים ותורים למדפסת ברודר,03-22-15,,0040004357,"רשף פתרונות הדפסה בע""מ",98366.64,ILS,69698.69,פטור ממכרז,,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
רשות האוכלוסין וההגירה,רשות ההגירה,68130105,הוצאות תפעול,4501037336,חניות,03-22-15,12-31-15,0040003496,"כלכלית ירושלים בע""מ",90000,ILS,52087.56,פטור ממכרז,חניות,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501037336,חניות,03-22-15,12-31-15,0040003496,"כלכלית ירושלים בע""מ",591662.4,ILS,524667.06999999995,פטור ממכרז,חניות,תקנה 3(29) - ספק יחיד,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501037352,ציוד משרדי,03-22-15,02-01-16,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",5436.28,ILS,5432.61,תקנה 14ב - מכרז מרכזי,529619,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501037540,התקשרות לטובת ועדת בית לשנת 2015,03-22-15,,0070000837,ועד הבית גבעתיים,3840,ILS,3840,אחר,,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110202,"פעולות, שירותים",4501037654,הזמנת מסכים לרשות,03-22-15,,0041097839,"גטר גרופ בע""מ",195450.84,ILS,51740.639999999999,תקנה 14ב - מכרז מרכזי,541738,,לא
רשות האוכלוסין וההגירה,רשות ההגירה,68110111,הוצאות תפעול,4501037701,החלפת סוללה במערכת גילוי אש במתקן מיכל חדרה,03-22-15,,0040144670,"טלפייר גלאי אש וגז בע""מ",259.60000000000002,ILS,259.60000000000002,פטור ממכרז,98,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",לא
