שם חברה,תקנה תקציבית,תיאור תקנה תקציבית,הזמנת רכש,מטרת התקשרות,תאריך יצירת ההזמנה,סיום תקופת תוקף,קוד ספק,שם הספק,"ערך ההזמנה כולל מע""מ",מטבע,"ביצוע חשבוניות במטבע מקומי כולל מע""מ והצ",אופן רכישה,סיבת פטור,"מס' פנייה במנו""ף/מנור""",הזמנה רגישה
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501041973,ועדת בוחנים,04-01-15,,0041052496,מרון שמחה,517.14,ILS,521.55999999999995,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501041985,יועץ נגישות,04-01-15,,0040532080,רונקין אליעזר,21574.799999999999,ILS,10444.42,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501042207,הזמנה עבור מלון קראון פלאזה  למשתתפי מחוזיאדה 2015,04-02-15,,0040189770,"כנפי משק תור בע""מ",46398,ILS,45144,פטור ממכרז,תקנה 3(29) - ספק יחיד,557248,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501042673,"ציוד מולטימדיה חדר הדרכה הוצל""פ חיפה",04-12-15,,0040328129,"ד.מ. (3000) הנדסה בע""מ",98094.7,ILS,0,תקנה 14ב - מכרז מרכזי,,528914,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501042549,"ציוד מולטימדיה חדר ישיביות גדול הוצל""פ חיפה",04-12-15,,0040328129,"ד.מ. (3000) הנדסה בע""מ",64099.68,ILS,0,תקנה 14ב - מכרז מרכזי,,528914,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501042461,"ציוד מולטימדיה חדר ישיביות הוצל""פ קריון",04-12-15,,0040328129,"ד.מ. (3000) הנדסה בע""מ",24613.21,ILS,0,תקנה 14ב - מכרז מרכזי,,528914,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501042472,"ציוד מולטימדיה חדר ישיביות הוצל""פ רמלה",04-12-15,,0040328129,"ד.מ. (3000) הנדסה בע""מ",25330.42,ILS,0,תקנה 14ב - מכרז מרכזי,,528914,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501042488,"ציוד מולטימדיה חדר ישיביות קטן הוצל""פ חיפה",04-12-15,,0040328129,"ד.מ. (3000) הנדסה בע""מ",27100.7,ILS,0,תקנה 14ב - מכרז מרכזי,,528914,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501042723,רכישת טונר מגנטי לטובת מצפסת צ'קים בחברת טלדור,04-12-15,,0040004149,י א מיטווך ובניו בעמ,1474.2,ILS,1486.8,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501043103,"התקנה, שדרוג ועדכון תוכנת אוליב מערכת פיפקס",04-13-15,,0040011510,"אוליב תוכנה בע""מ",228358.32,ILS,168674.57,פטור ממכרז,תקנה 3(29) - ספק יחיד,564385,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501043572,מארזי מחשב עמדות חדשות מגדלי הבירה,04-13-15,,0040003692,"טופ-ליין יבוא ושיווק רהיטים בע""מ",908.04,ILS,915.86,תקנה 14ב - מכרז מרכזי,,537946,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501043527,נאמני מחשוב חברת טלדור יועצים 2015,04-13-15,12-31-15,0040003679,"טלדור יועצים בע""מ",610318.80000000005,ILS,483272.74,תקנה 14ב - מכרז מרכזי,,537977,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501043181,רכישת ציוד עבור מערכת ניהול תורים חיפה,04-13-15,,0040015936,"יניר מערכות בע""מ",23300.55,ILS,0,תקנה 14ב - מכרז מרכזי,,528914,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501044963,רכישת ערכות תחזוקה עבור סורקים לטובת כלים שלובים,04-15-15,,0040004286,"אלפא מסופים ומדפסות בע""מ",49530.67,ILS,48355.91,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550115,השתתפות במשרדי הממשל,4501045637, ביצוע פקודות קנס/ מאסר-משטרת ישראל,04-16-15,,0010000028,משטרת ישראל,3750500,ILS,3750500,אחר,,משטרת ישראל,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501045650,"מכשירי מים הוצל""פ חיפה החדשה",04-16-15,,0040386641,"שטראוס מים בע""מ",30939.9,ILS,0,תקנה 14ב - מכרז מרכזי,,535400,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501045640,"מתקן מים הוצל""פ דימונה",04-16-15,,0040386641,"שטראוס מים בע""מ",2680.23,ILS,901.05,תקנה 14ב - מכרז מרכזי,,535400,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501046381,כיבוד ועדות רשמים,04-19-15,,0040158861,"ב.ר. שרותי הארחה והסעדה בע""מ",495.73,ILS,149.13999999999999,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501046831,השתלמות עובדים,04-20-15,,0010000020,משרד ראש הממשלה,2000,ILS,2000,אחר,,משרד ממשלתי,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047073,הדרכת עובדים,04-21-15,,0010000020,משרד ראש הממשלה,300,ILS,300,אחר,,משרד ממשלתי,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047470,הסעה למרצה,04-21-15,,0040228339,"בון תור בע""מ",269.35000000000002,ILS,271.64999999999998,תקנה 14ב - מכרז מרכזי,,537423,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047501,הסעה למרצה,04-21-15,,0040010480,"מסיעי אריה שאשא בע""מ",257.49,ILS,259.69,תקנה 14ב - מכרז מרכזי,,537423,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047159,השתתפות משרד מלון מחוזיאדה 2015,04-21-15,,0040372046,"הילם בע""מ",1243.3599999999999,ILS,1253.99,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047181,השתתפות משרד מלון מחוזיאדה 2015,04-21-15,,0040947834,פרוז אלי,1254,ILS,1479.72,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501047572,התקנה ותחזוקה של כלובים  אתר כלים שלובים,04-21-15,,0040225199,"אינטרנט בינת בע""מ",720883.78,ILS,461703.58,תקנה 14ב - מכרז מרכזי,,534356,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047554,"טונרים מסלול מקוצר, רבעון ב' 2015",04-21-15,,0040001244,"דנגוט מחשבים בע""מ",2029.63,ILS,2174.16,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047570,"טונרים עבור הוצל""פ פ""ת, רבעון ב' 2015",04-21-15,,0040001244,"דנגוט מחשבים בע""מ",3712.35,ILS,3985.99,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047636,"טונרים עבור כ""ס, רבעון ב', 2015",04-21-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",2450.52,ILS,2471.44,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047639,"טונרים עבור כ""ס, רבעון ב', 2015",04-21-15,,0041097839,"גטר גרופ בע""מ",20161.36,ILS,21703.47,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047643,"טונרים עבור כ""ס, רבעון ב', 2015",04-21-15,,0040001244,"דנגוט מחשבים בע""מ",13400.93,ILS,14388.75,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047648,"טונרים עבור כ""ס, רבעון ב', 2015",04-21-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",3187.03,ILS,3641,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047622,"טונרים עבור רמלה, רבעון ב', 2015",04-21-15,,0041097839,"גטר גרופ בע""מ",6369.31,ILS,6857.06,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047626,"טונרים עבור רמלה, רבעון ב', 2015",04-21-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",556.77,ILS,636.66999999999996,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047480,יישום הסכם קיבוצי שמירה ונקיון מטה,04-21-15,,0010000025,משרד האוצר,43890,ILS,43890,לא בשימוש,,,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047651,מאורר הוצלפ תל אביב,04-21-15,,0040283533,"אמפראל בע""מ",311,ILS,311,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047656,"ציוד משרדי הוצל""פ כ""ס, רבעון ב' 2015",04-21-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",3005.73,ILS,3031.38,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047606,"ציוד משרדי הוצל""פ פ""ת, רבעון ב' 2015",04-21-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",478.66,ILS,482.76,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047613,"ציוד משרדי הוצל""פ רמלה, רבעון ב', 2015",04-21-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",67.03,ILS,67.59,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047520,"ציוד משרדי מנהלת הגבייה, רבעון ב' 2015",04-21-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",509.16,ILS,512.4,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501047534,"ציוד משרדי מסלול מקוצר, רבעון ב', 2015",04-21-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",115.6,ILS,116.58,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550112,הוצאות מחשוב,4501047320,"רכישת רמקון למערכת ניהול תורים בראשל""צ",04-21-15,,0040510075,"קולפלו תוכנה בע""מ",748.8,ILS,0,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048701,"טונרים הוצל""פ חדרה, רבעון ב', 2015",04-26-15,,0040001244,"דנגוט מחשבים בע""מ",1186.73,ILS,1271.25,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048555,"טונרים עבור נתניה, רבעון ב', 2015",04-26-15,,0040001244,"דנגוט מחשבים בע""מ",3339.59,ILS,3592,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048562,"טונרים עבור נתניה, רבעון ב', 2015",04-26-15,,0041097839,"גטר גרופ בע""מ",5382.94,ILS,5785.69,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048568,"טונרים עבור נתניה, רבעון ב', 2015",04-26-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",4511.76,ILS,5152.99,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048669,"טונרים עבור עכו, רבעון ב', 2015",04-26-15,,0040001244,"דנגוט מחשבים בע""מ",1731.42,ILS,1861.99,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048672,"טונרים עבור עכו, רבעון ב', 2015",04-26-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",1727.91,ILS,1985.31,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048674,"טונרים עבור עכו, רבעון ב', 2015",04-26-15,,0041097839,"גטר גרופ בע""מ",7804.93,ILS,8444.92,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048690,"טונרים עבור צפת, רבעון ב' 2015",04-26-15,,0041097839,"גטר גרופ בע""מ",2842.18,ILS,3054.84,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048693,"טונרים עבור צפת, רבעון ב' 2015",04-26-15,,0040001244,"דנגוט מחשבים בע""מ",2425.1999999999998,ILS,2597.91,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048664,"טונרים עבור קריות, רבעון ב', 2015",04-26-15,,0040001244,"דנגוט מחשבים בע""מ",2373.46,ILS,2552.9899999999998,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048634,"טונרים עבור ראשון לציון, רבעון ב', 2015",04-26-15,,0040001244,"דנגוט מחשבים בע""מ",8284.2999999999993,ILS,8935.48,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048598,"ציוד משרדי הוצל""פ נתניה, רבעון ב' 2015",04-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1078.71,ILS,1087.92,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048677,"ציוד משרדי הוצל""פ עכו, רבעון ב' 2015",04-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",942.9,ILS,920.77,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048707,"ציוד משרדי חדרה, רבעון ב' 2015",04-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1454.09,ILS,1466.52,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048686,"ציוד משרדי צפת, רבעון ב' 2015",04-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",412.93,ILS,414.46,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501048654,"ציוד משרדי ראשל""צ, רבעון ב', 2015",04-26-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",2988.19,ILS,3006.26,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049203,הובלות,04-27-15,,0040998302,זאהר סאמי,2359.8200000000002,ILS,2379.9899999999998,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049235,"טונרים הוצל""פ אשקלון, רבעון ב', 2015",04-27-15,,0040001244,"דנגוט מחשבים בע""מ",5045.13,ILS,5404.44,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049236,"טונרים הוצל""פ אשקלון, רבעון ב', 2015",04-27-15,,0041097839,"גטר גרופ בע""מ",3229.76,ILS,3471.42,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049073,"טונרים מטה רשות האכיפה והגבייה, רבעון ב' 2015",04-27-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",817,ILS,939,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049085,"טונרים מטה רשות האכיפה והגבייה, רבעון ב' 2015",04-27-15,,0040001244,"דנגוט מחשבים בע""מ",907.34,ILS,1035.1300000000001,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049089,"טונרים מטה רשות האכיפה והגבייה, רבעון ב' 2015",04-27-15,,0040001244,"דנגוט מחשבים בע""מ",8670.49,ILS,9327,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049096,"טונרים מטה רשות האכיפה והגבייה, רבעון ב' 2015",04-27-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",6738.78,ILS,6796.39,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049227,"טונרים עבור אדוד, רבעון ב', 2015",04-27-15,,0040001244,"דנגוט מחשבים בע""מ",1484.94,ILS,1590.7,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049228,"טונרים עבור אדוד, רבעון ב', 2015",04-27-15,,0041097839,"גטר גרופ בע""מ",2756.05,ILS,2962.26,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049230,"טונרים עבור אילת, רבעון ב', 2015",04-27-15,,0041097839,"גטר גרופ בע""מ",2153.17,ILS,2314.2800000000002,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049231,"טונרים עבור אילת, רבעון ב', 2015",04-27-15,,0040001244,"דנגוט מחשבים בע""מ",197.79,ILS,211.87,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049221,"טונרים עבור באר שבע, רבעון ב' 2015",04-27-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",2022.93,ILS,2040.21,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049223,"טונרים עבור באר שבע, רבעון ב' 2015",04-27-15,,0041097839,"גטר גרופ בע""מ",5161.42,ILS,5547.62,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049224,"טונרים עבור באר שבע, רבעון ב' 2015",04-27-15,,0040001244,"דנגוט מחשבים בע""מ",3955.77,ILS,4237.49,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049234,"ציוד משרדי אשקלון, רבעון ב', 2015",04-27-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",367.78,ILS,344.65,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049220,"ציוד משרדי ב""ש רבעון ב', 2015",04-27-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1199.48,ILS,1209.73,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049232,"ציוד משרדי עבור אילת, רבעון ב', 2015",04-27-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",221.5,ILS,223.4,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550111,פעולות,4501049327,איתורים חדרה,04-28-15,,0041130439,מסארווה אחמד,12095.18,ILS,7699.89,תקנה 1ב - מכרז פומבי רגיל,,99,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049251,דוח עובדים,04-28-15,,0040001612,"מלם מערכות בע""מ",2808,ILS,2826,פטור ממכרז,תקנה 3(4)(ב)(3) - התקשרות המשך באישור ועדת פטור מרכזית,99,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049379,"טונרים הוצל""פ טבריה, רבעון ב', 2015",04-28-15,,0041097839,"גטר גרופ בע""מ",3229.76,ILS,3471.42,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049381,"טונרים הוצל""פ טבריה, רבעון ב', 2015",04-28-15,,0040001244,"דנגוט מחשבים בע""מ",865.71,ILS,929.52,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049571,"טונרים ת""א, רבעון ב', 2015",04-28-15,,0040001244,"דנגוט מחשבים בע""מ",1977.89,ILS,2094.61,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049604,"טונרים ת""א, רבעון ב', 2015",04-28-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1889.32,ILS,1905.45,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049614,"טונרים ת""א, רבעון ב', 2015",04-28-15,,0041097839,"גטר גרופ בע""מ",5258.87,ILS,5652.35,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049641,"טונרים ת""א, רבעון ב', 2015",04-28-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",345.58,ILS,390.38,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049644,"טונרים ת""א, רבעון ב', 2015",04-28-15,,0041097839,"גטר גרופ בע""מ",1614.88,ILS,1735.72,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049657,"טונרים ת""א, רבעון ב', 2015",04-28-15,,0041097839,"גטר גרופ בע""מ",7751.42,ILS,8331.39,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049663,"טונרים ת""א, רבעון ב', 2015",04-28-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",2450.52,ILS,2471.44,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049386,"ציוד משרדי טבריה, רבעון ב', 2015",04-28-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",320.42,ILS,323.14999999999998,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501049515,"ציוד משרדי ת""א, רבעון ב', 2015",04-28-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",3415.71,ILS,3437.35,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050414,"טונרים  נצרת, רבעון ב', 2015",04-29-15,,0041097839,"גטר גרופ בע""מ",1614.88,ILS,1735.71,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050415,"טונרים  נצרת, רבעון ב', 2015",04-29-15,,0040001244,"דנגוט מחשבים בע""מ",1682.73,ILS,1782.04,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050417,"טונרים  נצרת, רבעון ב', 2015",04-29-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",2841.45,ILS,3232.46,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050386,"טונרים חיפה, רבעון ב', 2015",04-29-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",3609.4,ILS,4123,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050390,"טונרים חיפה, רבעון ב', 2015",04-29-15,,0040001244,"דנגוט מחשבים בע""מ",683.61,ILS,782,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050391,"טונרים חיפה, רבעון ב', 2015",04-29-15,,0040001244,"דנגוט מחשבים בע""מ",7522.07,ILS,8076.55,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050403,"טונרים חיפה, רבעון ב', 2015",04-29-15,,0041097839,"גטר גרופ בע""מ",3229.76,ILS,3434.71,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050420,"טונרים ירושלים, רבעון ב', 2015",04-29-15,,0041097839,"גטר גרופ בע""מ",12832.91,ILS,13793.1,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050421,"טונרים ירושלים, רבעון ב', 2015",04-29-15,,0040001244,"דנגוט מחשבים בע""מ",1977.88,ILS,2123.6799999999998,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050422,"טונרים ירושלים, רבעון ב', 2015",04-29-15,,0040001247,"הראל טכנולוגיות מידע בע""מ",3878.2,ILS,4429.99,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050404,"טונרים קריות, רבעון ב', 2015",04-29-15,,0041097839,"גטר גרופ בע""מ",3277.94,ILS,3523.2,תקנה 14ב - מכרז מרכזי,,537981,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050053,כנס מנהלים 2014,04-29-15,,0040003381,"מלונות דן בע""מ",45700.2,ILS,44802.239999999998,פטור ממכרז,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח",,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050331,"ציוד משרדי אשדוד רבעון ב', 2015",04-29-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",316.37,ILS,253.33,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050419,"ציוד משרדי הוצל""פ ירושלים, רבעון ב', 2015",04-29-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1247.3399999999999,ILS,1258,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050359,"ציוד משרדי חיפה רבעון ב', 2015",04-29-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",3705.39,ILS,3737.06,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050410,"ציוד משרדי נצרת, רבעון ב', 2015",04-29-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1118.71,ILS,887.93,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050424,"ציוד משרדי עבור המטה, רבעון ב' 2015",04-29-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1166.33,ILS,1176.31,תקנה 14ב - מכרז מרכזי,,529619,לא
רשות האכיפה והגבייה,08550110,הוצאות תפעול,4501050407,"ציוד משרדי קריות, רבעון ב', 2015",04-29-15,,0040001337,"גרפיטי - שיווק ציוד משרדי ונייר בע""",1103.95,ILS,1113.3599999999999,תקנה 14ב - מכרז מרכזי,,529619,לא
