שנה ראשונה,מספר סעיף,שם הסעיף,הוצאה ברוטו,"מספרי סעיפים בשנה הקודמת, מופרדים בפסיקים"
1999,C0054030101,הוצאות הרשות,2400,
1999,C0054030102,תקציב פיקוח,14400,
1999,C0070670402,רזרבה לדיור לקשיש,55910,
1999,C0070691101,התחייבויות שונות על פי,13636,
1999,C0094010110,תורנות רופאים,26395,
1999,C0094020110,תורנות רופאים,23918,
1999,C0094030110,תורנות רופאים,15288,
2000,C0000010301,מס הכנסה חברות,14000000,
2000,C0000010302,מס הכנסה עצמאים,9050000,
2000,C0000010303,מס הכנסה מנהלי חברות,7870000,
2000,C0000020301,"מע""מ על פיננסים",1190000,
2000,C0000110101,מכס והיטל על היבוא,9790000,
2000,C0000130301,מס קניה מקומי,860000,
2000,C0000140203,"מע""מ ייבוא בטחוני",1160000,
2000,C0000150101,מס טבק - בלו,1010000,
2000,C0002020101,שכר חברי הכנסת,40050,
2000,C0002020102,אחזקת רכב חברי כנסת,5420,
2000,C0002020103,כלכלה לחברי הכנסת,700,
2000,C0002020201,עוזרים לחברי הכנסת,13600,
2000,C0002020202,משלוחי דואר ומברקים,2722,
2000,C0002020203,תקציב טלפוניה לחברי,1015,
2000,C0002020204,קשר לציבור חברי כנסת,4935,
2000,C0002020205,שכירת לשכה פרלמנטרית,3815,
2000,C0002020206,לימוד שפות זרות לחברי,120,
2000,C0002020208,"פעילות ח""כים",100,
2000,C0002030102,מרכז מידע ומחקר,3000,
2000,C0002030104,שכירות חדרים לועדות,60,
2000,C0002030105,סיורי ועדות ברחבי הארץ,60,
2000,C0002030108,אינטרנט ודואר אלקטרוני,552,
2000,C0002030109,פסקי דין בית המשפט,30,
2000,C0002030110,שידורים ישירים מהכנסת,4460,
2000,C0002030113,צילומי ארועים לעיתונות,66,
2000,C0002030201,"קרן יו""ר הכנסת",50,
2000,C0002030202,ארועים מיוחדים בכנסת,148,
2000,C0002030203,משלחות חברי הכנסת,1085,
2000,C0002030204,אירוח משלחות,800,
2000,C0002030205,אגודת ידידות,15,
2000,C0002030206,הנצחת זיכרם של חברי,20,
2000,C0002030208,ארועים בתשלום בכנסת -,-135,
2000,C0002030209,"קרן יו""ר הכנסת חברה -",-3000,
2000,C0002030210,"קרן יו""ר הכנסת חברה -",3000,
2000,C0002030211,קרן הכנסת,5000,
2000,C0002030402,עבודה בלתי צמיתה,5000,
2000,C0002030403,שעות נוספות - עובדים,1650,
2000,C0002030404,החזר הוצאות רכב עובדים,8500,
2000,C0002030405,כוננויות עובדים,60,
2000,C0002030406,קניית שרותי כח אדם,2400,
2000,C0002030407,הדרכה והשתלמויות,400,
2000,C0002030408,"השתלמות עובדים בחו""ל",160,
2000,C0002030409,עיתונים לעובדים,260,
2000,C0002030411,הכשרה מקצועית עובדים,250,
2000,C0002030502,רשומות וירחונים,55,
2000,C0002030504,תפעול שוטף,3395,
2000,C0002030505,אחזקה שוטפת,13545,
2000,C0002030506,רכישת ציוד משקי,1910,
2000,C0002030507,דואר טלפונים ומשלוחים,3200,
2000,C0002030508,שיפוץ מבנים והתקנות,4985,
2000,C0002030510,הוצאות דלק,130,
2000,C0002030511,שכירות רכב,13,
2000,C0002030512,נסיעות והובלות,180,
2000,C0002030513,סריקה אופטית ארכיון,1000,
2000,C0002030603,שעות נוספות לאירועים,80,
2000,C0002030606,הוצאות שמירה וביטחון,1346,
2000,C0002030608,מדים לשומרים,280,
2000,C0002030701,אחזקה מערכת המחשב,11040,
2000,C0004011108,השתתפות בפרוייקט מחשוב,62,
2000,C0006080104,"הוצ' חו""ל - רז'",21,
2000,C0007100995,הכנסות מגורמי חוץ,-53,
2000,C0018039905,רז' להתייקרויות -,15,
2000,C0019070104,רזרבה לתמיכות,4000,
2000,C0020210849,נסיעות לאונסקו,30,
2000,C0020210851,פעולות לשתוף בינלאומי,372,
2000,C0020220445,פירסומים חינוכיים,1938,
2000,C0020230555,מיחשוב סמינרים,1370,
2000,C0020240848,הכנסה ממכירת חוברות,-306,
2000,C0020240852,הכנסות למלחמה בסמים,-510,
2000,C0020240857,"פעולות שפ""י - רכישות",5319,
2000,C0020240858,הכנסות מדמי השתתפות,-51,
2000,C0020240901,חינוך יהודי בתפוצות,30016,
2000,C0020241247,סל תרבות,4726,
2000,C0020270560,תכנית המיחשוב - הסכמים,5988,
2000,C0020270562,תכנית המחשוב - רשויות,2760,
2000,C0020280120,שכר עידוד,1508,
2000,C0020280549,בטיחות במוסדות - תמיכה,105,
2000,C0020281955,סל תלמיד העולה,2104,
2000,C0020282059,רזרבה לשכר,50600,
2000,C0020320261,ציוד ימי,386,
2000,C0023068195,השתתפות רשויות מקומיות,-704,
2000,C0023068196,השתתפות הורים,-413,
2000,C0024042640,הכנסה מתלמידות,-906,
2000,C0024042940,הכנסה מתלמידות,-959,
2000,C0024043010,שעות נוספות 1800,72,
2000,C0024043040,הכנסה מתלמידות,-800,
2000,C0024043440,הכנסה מתלמידות,-885,
2000,C0024044040,הכנסה מתלמידות,-838,
2000,C0024044240,הכנסות מתלמידות,-319,
2000,C0024101141,הכנסות מאשפוז,-41397,
2000,C0024102134,הכנסות מביטוח לאומי,-4342,
2000,C0024102135,הכנסות מרנטות וממשפחות,-17668,
2000,C0024102634,הכנסות מביטוח לאומי,-1776,
2000,C0024102635,"הכנסות מרנטות, וממשפחות",-15935,
2000,C0024103438,הכנסות מאשפוז,-75445,
2000,C0024133613,הכנסות מאשפוז ואחרות,-5009,
2000,C0024133616,הכנסות מבטוח לאומי,-3196,
2000,C0024133713,הכנסות אחרות,-734,
2000,C0024134302,פרמיות ושכר עידוד,200,
2000,C0024134313,הכנסות אחרות,-201,
2000,C0024134413,הכנסות,-181,
2000,C0024134613,הכנסות מאשפוז ואחרות,-1039,
2000,C0024134616,הכנסות מביטוח לאומי,-1604,
2000,C0024136613,הכנסות מאשפוז ואחרות,-1245,
2000,C0024136616,הכנסות מבטוח לאומי,-1238,
2000,C0024138113,הכנסות מאשפוז ואחרות,-2498,
2000,C0024138117,הכנסות מבטוח לאומי,-1846,
2000,C0024162241,הכנסות מבדיקות,-505,
2000,C0024164206,שעות נוספות 800,32,
2000,C0024200802,השתתפות ביטוח לאומי,-671337,
2000,C0026080106,טיפול באתר הפסולת,7781,
2000,C0030022506,אגרות חינוך לילדים,1550,
2000,C0030022519,אגרות חינוך לילדים,4878,
2000,C0030022531,תמיכות בפעולות חברה,412,
2000,C0030022533,אחזקה שוטפת של אתרים,516,
2000,C0039100102,הסדרת התחרות,425,
2000,C0039100105,רזרבה לתחרות,650,
2000,C0039100106,רזרבה לפרויקטים,550,
2000,C0070672101,תכנון ופינוי - בינוי,11426,
2000,C0070672103,תקציב המשכי בגין שנים,5078,
2000,C0076012105,רזרבה להתייקרויות,4456,
2000,C0089900101,הכנסות ממשרדי הממשלה,135632,
2000,C0089900102,הכנסות מגורמי חוץ,65720,
2000,C0094710101,הכנסות מאשפוז,844968,
2000,C0094710102,אחרות,1378,
2000,C0094710103,השתתפות בטחון,32135,
2000,C0094720101,הכנסות מאשפוז,600607,
2000,C0094720102,אחרות,948,
2000,C0094720103,השתתפות בטחון,25914,
2000,C0094730101,הכנסות מאשפוז,407117,
2000,C0094730102,אחרות,430,
2000,C0094740101,הכנסות מאשפוז,357858,
2000,C0094740102,אחרות,231,
2000,C0094750101,הכנסות מאשפוז,432975,
2000,C0094750102,אחרות,1179,
2000,C0094750103,השתתפות בטחון,12440,
2000,C0094760101,הכנסות מאשפוז,236596,
2000,C0094760102,אחרות,209,
2000,C0094770101,הכנסות מאשפוז,253758,
2000,C0094770102,אחרות,363,
2000,C0094770103,השתתפות בטחון,5598,
2000,C0094780101,הכנסות מאשפוז,126094,
2000,C0094780102,אחרות,341,
2000,C0094780103,בטחון,1755,
2000,C0094790101,הכנסות מאשפוז,164353,
2000,C0094790102,אחרות,672,
2000,C0094790103,השתתפות בטחון,7676,
2000,C0094810101,הכנסות מאשפוז,701112,
2000,C0094810102,אחרות,1169,
2000,C0094810103,השתתפות בטחון,10386,
2000,C0095720501,אגרות כלי שייט,8881,
2000,C0095720503,גביית אגרת מגדלאור,156,
2000,C0095720505,שרותים לאוניות,73,
2000,C0095720509,אגרות רציף,13059,
2000,C0098720102,השכרת דיור כפרי,317,
2000,C0098720104,הכנסות מדמי מפתח,13984,
2000,C0098720111,יפו - השכרת נכסי דיור,2290,
2000,C0098720114,יפו - הכנסות מדמי מפתח,1145,
2000,C0098721105,גביית חובות מחוכרי קרקע,15967,
2000,C0098721106,גביית חובות מחוכרי קרקע,7944,
2000,C0098721107,דמי חכירה שוטפים-בניה ר,8935,
2000,C0098721110,דמי חכירה שוטפים ממסחר,4237,
2000,C0098721111,דמי חכירה שוטפים ממלונא,5650,
2000,C0098722101,תמלוגים ממחצבות,137114,
2000,C0098722102,הכנסות שונות,13017,
2000,C0098722103,"הכנסות ממטעים, פרדסים",7420,
2000,C0098722149,הכנסות מחוברות מכרזים,3208,
2000,C0098730104,דמי היתר,1052,
2000,C0098730203,דמי הסכמה מקרקע חקלאית,11407,
2000,C0098730207,דמי הסכמה-בניה רוויה,2821,
2000,C0098730209,דמי הסכמה-תעשיה,1642,
2000,C0098730210,דמי הסכמה-מסחר,1059,
2000,C0098730211,דמי הסכמה-מלונאות,1115,
2000,C0098730212,דמי הסכמה מוסדות ואחרים,946,
2000,C0098731302,דמי חכירה מהוונים -,932888,
2000,C0098731401,"הכנסות ממקבת""ים",10630,
2000,C0098731404,הוון משתכנים ותיקים -,5650,
2000,C0098731410,דמי חכירה מהוונים מסחר,193100,
2000,C0098731411,דמי חכירה מהוונים-מלונא,36309,
2000,C0098731412,הוון חוכרים ותיקים-מסחר,9581,
2000,C0098731414,הוון חוכרים ותיקים-מלונ,2603,
2000,C0098731416,הכנסות משימושים חורגים,15789,
2000,C0098731502,מכירת קרקעות,15006,
2000,C0098731511,יפו- מכירת דירות ונכסים,5724,
2000,C0098733201,פרויקט דרום הקריה,148713,
2000,C0098733202,פרוייקט יפו- הכנסות,17174,
2000,C0098733203,החזר הוצאות קדם תכנון,18511,
2000,C0098733206,החזר הוצאות קדם תכנון,5650,
2000,C0098733207,החזר הוצאות קדם פתוח,32486,
2000,C0098733208,עודפים בפרוייקטים,35311,
2000,C0098733210,גבית השתתפות בפיתוח,32545,
2000,C0098733212,הכנסות מקרקע לקריות ממש,73876,
2001,C0000130201,מס קניה מוצרי יבוא,9000000,
2001,C0020210504,שירותי מחשוב ויישומים,48107,
2001,C0020220146,שכר עידוד,8694,
2001,C0020220157,שעות כוננות,1375,
2001,C0020240255,פרויקט חונכות-מילגות,40781,
2001,C0020240256,"השתתפות ות""ת במלגות",-10600,
2001,C0020260556,מוזיאונים - תמיכה,3054,
2001,C0020260973,"אחזקת ילדי צד""ל",3000,
2001,C0020261911,פנימיות יום,80468,
2001,C0020270447,"ספרנים חט""ב וחנוך",1394,
2001,C0020270449,שרתים,23893,
2001,C0020280122,שעות נוספות,398,
2001,C0020281659,עדוד יוזמות פדגוגיות,227,
2001,C0020300712,"פתוח ביה""ס כדורי",1,
2001,C0020300713,הכנסות מקרן פתוח כדורי,-1,
2001,C0023066230,דמי ליווי לעיוורים,39367,
2001,C0023088105,רזרבה - מסגרות יום,3455,
2001,C0023088106,רזרבה - מועדוניות,827,
2001,C0023088107,רזרבה - מרכז יום,1022,
2001,C0023088108,רזרבה - נופשון ומרכז,730,
2001,C0023107248,הסעות במועצות אזוריות,913,
2001,C0024132908,כוננויות רופאים,155,
2001,C0030021415,פעולות לעידוד חזרתם של,1761,
2001,C0030021422,סיוע בהקמת המכון,361,
2001,C0030021440,סיוע לותיקי מלחמת,8000,
2001,C0030021441,"קצבאות זקנה בנתב""ג",16193,
2001,C0030021442,הכנסות מביטוח לאומי,-16193,
2001,C0030022605,השלמת הכנסה לעולים,2237,
2001,C0030022606,הבטחת הכנסה לעולים,27458,
2001,C0030041111,פעולות קליטה בקהילה,11788,
2001,C0030041113,פעולות קליטה בקהילה -,130,
2001,C0030041128,פעולות חינוך לעולים,7800,
2001,C0030041129,תמיכות בפעולות חינוך,1800,
2001,C0030041131,השתתפות במרכז הסברה,5000,
2001,C0030041133,פעולות חינוך לעולים,476,
2001,C0030041134,העסקת 4 פסיכולוגים,144,
2001,C0030041136,פעולות לשילוב תרבויות,1295,
2001,C0034010219,דמי שימוש בדיור ממשלתי,577,
2001,C0034140209,רזרבה לאכיפת תקני,250,
2001,C0037010202,פעולות רווחה,301,
2001,C0067190501,"תמיכה בתשתיות קופ""ח",75661,
2001,C0070671312,תקן מוסדות ציבור עבור,9266,
2001,C0070691106,שיפוץ ושיקום מבנים,4024,
2001,C0073230101,רזרבה להתייקרויות,8160,
2001,C0073230102,רזרבה להתייקרויות,14410,
2001,C0094710104,הכנסות מתאגיד הבריאות,42338,
2001,C0094720104,הכנסות מתאגיד הבריאות,18942,
2001,C0094730104,הכנסות מתאגיד הבריאות,7073,
2001,C0094740104,הכנסות מתאגיד הבריאות,2481,
2001,C0094750104,הכנסות מתאגיד הבריאות,7861,
2001,C0094760104,הכנסות מתאגיד הבריאות,2740,
2001,C0094770104,הכנסות מתאגיד הבריאות,3184,
2001,C0094780104,הכנסות מתאגיד הבריאות,1111,
2001,C0094790104,הכנסות מתאגיד הבריאות,1559,
2001,C0094810104,הכנסות מתאגיד הבריאות,21607,
2002,C0002030212,קשרי חוץ,1650,
2002,C0004025301,תמיכות בארגוני הנצחה,1702,
2002,C0005023105,כוננויות,11,
2002,C0007102001,רזרבה להתייקרויות שכר,15744,
2002,C0013012302,פרוייקט ניהול,1892,
2002,C0013012303,ייעוץ וספרות מקצועית,473,
2002,C0020260940,רזרבה לשכר,96040,
2002,C0020261171,רזרבה לשכר מורים,48822,
2002,C0020291510,רזרבה,3000,
2002,C0021050101,רזרבה להתייקרויות שכר,155887,
2002,C0021050103,"רזרבה להתייקרויות מט""ח",6042,
2002,C0021050104,רזרבה להתייקרויות פתוח,3229,
2002,C0021050105,רזרבה להתייקרויות,930,
2002,C0023013205,הוצאות תפעול ומידע,354,
2002,C0023013301,שיא כח אדם,386,
2002,C0023013306,סיוע לבודדים ולמשפחות,1293,
2002,C0023013390,הכנסות מתרומות,-96,
2002,C0023062220,תמיכה בחרשים,1028,
2002,C0023102555,קמחא דפסחא,3000,
2002,C0023109501,רזרבה,18000,
2002,C0025013401,רזרבה להתייקרויות,241,
2002,C0034020203,פעולות ועדת היכל,20,
2002,C0034020299,השתתפות משרד השיכון,-4213,
2002,C0034040108,השתתפות במערכת מיחשוב,123,
2002,C0036010111,הכנסות מבדיקות מתקני,-2277,
2002,C0036010116,עובדי קרן תמורה,340,
2002,C0036010118,אחזקת רכב לקרן תמורה,70,
2002,C0036010124,פעולות חשביות בדיקה,400,
2002,C0036010125,הכנסות מפעולות גבייה,-180,
2002,C0036010131,"עב""צ עובדי לשכת סגן",972,
2002,C0036010132,אחזקת רכב לשכת סגן,197,
2002,C0036010140,השתתפות משד הבינוי,-266,
2002,C0036010141,"עב""צ לפיקוח על מחירי",220,
2002,C0036010142,אחזקת רכב לעובדי פיקוח,46,
2002,C0037031604,ירידי תיירות,3912,
2002,C0038020109,קניית שירותי ניהול,9605,
2002,C0038020121,השתתפות במשרד המדע,1100,
2002,C0070110101,רזרבה להתייקרויות אשראי,116885,
2002,C0070670106,רזרבה להשתתפות במנהל,4793,
2002,C0070690953,רזרבה לפיתוח תשתיות,20279,
2002,C0070690984,פיתוח תשתיות במסגרת,26140,
2002,C0070700505,"תשתיות וממ""ג במעלה",20180,
2002,C0076010912,עתודה לפיתוח אזורי,171317,
2002,C0076010928,הכשרת שטחים באיזורי,30000,
2002,C0094080210,השתתפות הכנסות מרכזיות,-10849,
2002,C0094500405,רזרבה לתקינת אחיות,3876,
2002,C0094501101,העברת הכנסות מאשפוז,-15702,
2002,C0094501102,רזרבה לפעולות,15702,
2002,C0094820101,השלמת הכנסות בתי חולים,327138,
2003,C0002020209,רכב לחברי הכנסת,4450,
2003,C0002020211,אבטחה ומיגון חברי כנסת,700,
2003,C0005030612,"השתתפות בלמ""ס (סיוע",36,
2003,C0005030613,"הסברה בחו""ל",376,
2003,C0008010901,שיא כח אדם,582,
2003,C0008010902,עובדים ארעיים,116,
2003,C0008010903,שעות נוספות,32,
2003,C0008010904,החזר הוצאות רכב וחניה,116,
2003,C0008010905,תפעול דיור ומחשוב,929,
2003,C0008010906,מתמחים,113,
2003,C0008070401,כח אדם קאדים,7569,
2003,C0008070402,כח אדם מנהלי,1213,
2003,C0008070405,עבודה ארעית,1175,
2003,C0008070406,מחשוב,491,
2003,C0008070407,תפעול,1764,
2003,C0008070408,"שרותי כ""א",1208,
2003,C0008070409,שיפוץ בתי דין שרעיים,485,
2003,C0015010201,שכר קבע,3111746,
2003,C0015010203,"שכר אזרחים עובדי צה""ל",1401850,
2003,C0015010204,שכר יחידות סמך,890096,
2003,C0015010206,שכר חיילי חובה,889993,
2003,C0015010207,ימי מילואים,1555296,
2003,C0015010208,שכר קבע אחר,4221409,
2003,C0015010209,רזרבה להתייקרויות שכר,490710,
2003,C0015010211,גמלאות שוטף,2400881,
2003,C0015010212,גמלאות שארים,142909,
2003,C0015010213,מענקי פרישה לגימלאים,257923,
2003,C0015010214,היוון לגימלאים,294434,
2003,C0015010218,שיקום - שונות,1295680,
2003,C0015010219,רזרבה לתשלומי העברה,57586,
2003,C0015010221,קניות ושרותים אחרים,7122918,
2003,C0015010222,עבודות בינוי,773433,
2003,C0015010223,אחזקת מבנים,613700,
2003,C0015010226,השתתפות מסעיפים אחרים,-1512388,
2003,C0015010231,"מט""ח סיוע בארה""ב",11144059,
2003,C0015010232,"מט""ח סיוע המרה לש""ח",2798463,
2003,C0015010233,"מט""ח סיוע המרה למזומן",30088,
2003,C0015010234,"מט""ח מזומן",895577,
2003,C0015010235,"מע""מ על סיוע Wye",119970,
2003,C0015010241,ישיבות הסדר,21379,
2003,C0015010242,ייעודה לגרעון,303270,
2003,C0015010250,"הכנסות מחו""ל",-5201190,
2003,C0015010251,הכנסות מגורמי חוץ,-150000,
2003,C0015010290,תקציב הביטחון שונות,571209,
2003,C0020220155,שעות נוספות,3286,
2003,C0020280361,דמי שימוש בדיור ממשלתי,2428,
2003,C0020312202,תרבות יהודית,9546,
2003,C0020312247,פרסומים פעולות ורכישות,2486,
2003,C0020320269,תשדירי ספורט,709,
2003,C0023011985,"דואר, טלפונים ומשלוחים",11633,
2003,C0023013305,הפעלת ועדות ערר,258,
2003,C0023062203,מרכזים להתפתחות הילד,796,
2003,C0023062204,תמיכה במרכזים להתפתחות,180,
2003,C0023062207,תמיכה בארגוני נכים,2602,
2003,C0023062208,טיפול בחרשים בפנימיות,4714,
2003,C0023062210,הסעות נכים לתעסוקה,2605,
2003,C0023062213,תמיכה בטיפול בנכים,388,
2003,C0023062224,מועדוניות לחירשים,332,
2003,C0023062226,מרכזי יום לנכים קשים,1295,
2003,C0023062228,סל תקשורת לחירשים,1358,
2003,C0023062229,דמי תקשורת לחירשים,9118,
2003,C0023062230,תפעול מרכז תקשורת,194,
2003,C0023062249,מענק לנכים במפעלים,5535,
2003,C0023062295,השתתפות הורים ורשויות,-16801,
2003,C0023085091,הכנסות מקצבת זקנה,-1004,
2003,C0023104006,השתתפות יחידות המשרד,-1500,
2003,C0023104348,פיתוח שירותים לקשישים,1487,
2003,C0023113283,הוצאות אחזקה ותפעול,2042,
2003,C0023116610,תמיכה במקלטים לחסרי בית,587,
2003,C0024303001,הפחתות שירותי מכבסה,4101,
2003,C0024311020,רזרבה לתקנים,100,
2003,C0027080101,רזרבה להקצבות על פי,376243,
2003,C0027080102,"רזרבה להקצבות עפ""י",150797,
2003,C0027080103,רזרבה להקצבות על פי,97602,
2003,C0027080104,רזרבה להוצאות מינהל,5572,
2003,C0027080106,רזרבה להפעלת החוק,4200,
2003,C0029082501,רזרבה לעמידה ביעדי,3549,
2003,C0029082502,"רזרבה למט""ח",41,
2003,C0052010601,פיתוח אסטרטגי,27261,
2003,C0052010602,תחזוקת ישומים ותשתיות,19310,
2003,C0052010603,שדרוג טכנולוגיות,3408,
2003,C0052010604,מחשוב מחוזות ואגפים,7318,
2003,C0052010605,הכנסות מגורמי חוץ,-1639,
2003,C0054050101,"עב""צ",2413,
2003,C0054050102,החזר הוצאות רכב שירות,490,
2003,C0054050103,שעות נוספות,251,
2003,C0054050104,שכר עידוד,65,
2003,C0054050202,פעולות,246,
2003,C0054050205,ייעוץ משפטי,199,
2003,C0054050206,"ייעוץ וחו""ד מומחים",1420,
2003,C0054050207,תמיכה הנדסית וכלכלית,759,
2003,C0054050208,תכנון מפורט - צנרת גז,1166,
2003,C0054050209,רזרבה לגז הטבעי,9670,
2003,C0054050211,"נסיעות לחו""ל",219,
2003,C0054050212,בדיקת היתרים,4000,
2003,C0054050213,הכנסה מגורמי חוץ,-4000,
2003,C0067020503,השתתפות ביטוח,-1600,
2003,C0068090101,רזרבה להתייקרויות בשכר,969,
2003,C0068090102,רזרבה לעמידה ביעדי,358,
2003,C0070700230,אתר ציפורי - תכנון,10000,
2003,C0070700231,אתר ציפורי - תשתיות -,10000,
2003,C0070700232,הכנסות מהחזרי פיתוח,-20000,
2003,C0070700248,השתתפות בתקציב משרד,40000,
2003,C0070700270,אתרים שמשוני ספדי,2000,
2003,C0070700271,אתרים שמשוני ספדי,3780,
2003,C0070700272,הכנסות מהחזרי פיתוח,-5780,
2003,C0076012106,רזרבה לעמידה ביעד,2614,
2003,C0083060309,רזרבה לעמידה ביעדי,15421,
2003,C0083060316,"השתתפות ביעוץ רו""ח",550,
2003,C0083060325,עובדי מדינה - רפאל,61800,
2003,C0089030901,"יעוץ וחו""ד סקרים",388,
2003,C0089030902,הוצאות מיכון,97,
2003,C0089030903,תפעול,728,
2003,C0089030904,דואר טלפונים ומשלוחים,340,
2003,C0089030905,אחזקת רכב ממשלתי,204,
2003,C0089030906,פעולות רווחה,243,
2003,C0089030907,"נסיעות לחו""ל",34,
2003,C0089030908,הדרכה והשתלמות,243,
2003,C0089030909,קניית שירותי כוח אדם,97,
2003,C0089030910,רזרבה - בלתי צפויות,970,
2003,C0089030911,אחזקה,2425,
2003,C0089030912,אחזקת מכונות,970,
2003,C0089030913,פרסום מכרזים,243,
2003,C0089030914,שמירה וביטחון,970,
2003,C0089030915,חומרי עזר,2425,
2003,C0089030916,סחורות מקולקלות,49,
2003,C0089030917,חומרי גלם,853,
2003,C0089030918,הובלת נייר וסחורות,388,
2003,C0089030919,נייר להדפסות ביטחוניות,3370,
2003,C0089030920,נייר להדפסות כלליות,2425,
2003,C0089030921,עבודות חוץ,29100,
2003,C0089030922,רכישת ציוד,485,
2003,C0089030923,קרן לחידוש ציוד,970,
2003,C0089040101,רזרבה להתייקרויות בשכר,758,
2003,C0089040102,רזרבה לעמידה ביעדי,1464,
2003,C0089890101,הכנסות מגורמי חוץ,10000,
2003,C0089890102,הכנסות ממשרדי ממשלה,59725,
2003,C0089890103,סגירת חייבים,5000,
2004,C0002030520,אחזקת חניון חדש,1000,
2004,C0004080101,פיקוח ובקרה מועצות,312,
2004,C0004080102,השתתפות בתקציב הרגיל,62968,
2004,C0004080103,הדרכה במועצות דתיות,2056,
2004,C0004080104,הדרכת קייסים,68,
2004,C0004080105,העסקת קייסים במועצות,4441,
2004,C0004080106,"השתתפות בתקציב מוע""ד",307,
2004,C0004080201,הקצבות לרבנים ושוחטים,49277,
2004,C0004080202,השתתפות בהחזקת השרותים,335,
2004,C0004080401,רזרבה לעמידה ביעדי,128,
2004,C0004080402,רזרבה להתייקרויות -,3675,
2004,C0004090201,"רכישת שירותי כ""א",634,
2004,C0004090202,שירותי ייעוץ,514,
2004,C0008080101,כוח אדם - דיינים,33577,
2004,C0008080102,רשאי אבות בית הדין,1820,
2004,C0008080103,שיא כוח אדם מינהליים,6542,
2004,C0008080104,עבודה ארעית,5322,
2004,C0008080105,שעות נוספות,947,
2004,C0008080106,עבודה ארעית,1762,
2004,C0008080107,שכר הרבנים הראשיים,962,
2004,C0008080108,כוננויות,129,
2004,C0008080109,שכר סופרי ועדי גיטין,1006,
2004,C0008080110,שכר דייני גיור,328,
2004,C0008080111,שכר עידוד,654,
2004,C0008080301,הוצאות רפואיות לדיינים,284,
2004,C0008080302,השתתפות הדיינים,-284,
2004,C0008080303,טיפול בענייני עגונות,559,
2004,C0008080304,עדים וסופרי גיטין,138,
2004,C0008080305,הקלדת פרוטוקולים,155,
2004,C0008080306,ועדת בוחנים לטוענים,193,
2004,C0008080307,הכנסות מדמי בחינות,-193,
2004,C0008080308,"נציגויות בי""ד במדינות",194,
2004,C0008080309,גיור קטינים,38,
2004,C0008080310,"השתתפות במשרד רוה""מ",1920,
2004,C0008080311,איתור הקדשות,618,
2004,C0008080312,הכנסות מאגרות עבור,-319,
2004,C0008080313,תפעול יחידת הגיור,1244,
2004,C0008080401,"תפעול, אחזקה, דואר",5392,
2004,C0008080402,החזר הוצאות רכב,1272,
2004,C0008080403,"השתתפות בשכ""ד - אוצר",5052,
2004,C0008080405,הדרכה והשתלמות,159,
2004,C0008080406,החזר הוצאות רכב,299,
2004,C0008080407,שמירה ואבטחה,1035,
2004,C0008080408,דואר רשום בבתי הדין,343,
2004,C0008080409,אחזקת רכב ממשלתי,294,
2004,C0008080410,דלק לרכב ממשלתי,56,
2004,C0008080411,השכרת רכב,12,
2004,C0008080412,הכנסות מתפעול,-109,
2004,C0008080501,תחזוקת חומרה,159,
2004,C0008080502,תחזוקת תקשורת,52,
2004,C0008080503,קניית שירותי מיכון,58,
2004,C0008080504,חומרים מתכלים,27,
2004,C0008080601,רזרבה להתייקרויות שכר,1688,
2004,C0008080602,רזרבה לעמידה ביעדי,510,
2004,C0008080603,"רזרבה להתייקרויות מט""ח",10,
2004,C0008080604,רזרבה להתייקרויות -,15,
2004,C0008080701,שיפוץ בתי הדין,466,
2004,C0013011001,שיפוי רשויות מקומיות,242500,
2004,C0015010216,גימלאות משרד הביטחון,266635,
2004,C0020240869,שיפור עבודת אנשי מקצוע,4959,
2004,C0020260593,תנועות נוער עולמיות,175,
2004,C0020270581,עזרה ראשונה,990,
2004,C0020270990,תמיכה בלימודי יהדות,158167,
2004,C0020280473,פעולות בפנימיות,1965,
2004,C0020281749,שירות פסיכולוגי יעדי,75,
2004,C0020290856,תכנית הבראה לרשת הגנים,10000,
2004,C0020312204,תרבות יהודית רכישות,2000,
2004,C0020380105,רזרבה לתשלומי העברה,28589,
2004,C0020380401,תמיכה בכוללים,260086,
2004,C0020381112,תמיכה בישיבות גבוהות,114680,
2004,C0020381114,ביקורת תמיכות מרכזית,2832,
2004,C0020381130,הפעלת מערכת מיחשוב,2597,
2004,C0020381205,מילגות לתלמידי ישיבות,3161,
2004,C0020381206,גרעין חינוכי לאומי,5963,
2004,C0020381207,כולל היובל תמיכה,2051,
2004,C0020381208,כולל האלף - תמיכה,879,
2004,C0020381299,רזרבה,1292,
2004,C0020381501,תמיכה בישיבות הסדר,32689,
2004,C0020382101,הבטחת הכנסה,108690,
2004,C0024192008,השתתפות משרד הקליטה,-2781,
2004,C0032050101,עתודה לתמיכה בענף,25000,
2004,C0032050102,עתודה,13800,
2004,C0032050103,תמיכה ברשות הטבע,3131,
2004,C0032050104,רזרבה להתייקרויות,1456,
2004,C0032100101,הוצאות משק לשעת חירום,1000,
2004,C0032100201,מימון ואחסון מלאי,71144,
2004,C0032100206,בקרת סטנדרטים ואיכות,120,
2004,C0032100208,חברות בארגונים,37,
2004,C0032100209,אחזקת מלאי אזרחי,7780,
2004,C0032100210,אניות אסטרטגיות,2000,
2004,C0032100302,רזרבה לעמידה ביעדי,4293,
2004,C0032100303,"רזרבה להתייקרויות מט""ח",2,
